date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:11:14	6641/6641	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Jul%202024%2001:11:22%20GMT	https://go-tailwind.preview.uideck.com/robots.txt		(from )
03:11:14	129324/-1	---M--	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202024%2001:11:22%20GMT	https://go-tailwind.preview.uideck.com/	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/index.html	(from )
03:11:14	6710/6710	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2021%20Jul%202024%2001:11:23%20GMT	https://go-tailwind.preview.uideck.com/ws/index.js	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/ws/index.js	(from https://go-tailwind.preview.uideck.com/)
03:11:15	21275/21275	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Jul%202024%2001:11:23%20GMT	https://go-tailwind.preview.uideck.com/next.js	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/next.1.delayed	(from https://go-tailwind.preview.uideck.com/)
03:11:15	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22e20afb6345ffbdbf1eb1a029f73c3c32%22	https://go-tailwind.preview.uideck.com/favicon.ico	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/favicon.ico	(from https://go-tailwind.preview.uideck.com/)
03:11:15	47635/47635	---MCZ	200	added ('OK')	text/css	etag:W/%2281bb2de714c94b0f74f504601e8492ee%22	https://go-tailwind.preview.uideck.com/style.css	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/style.css	(from https://go-tailwind.preview.uideck.com/)
03:11:15	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2021%20Jul%202024%2001:11:24%20GMT	https://go-tailwind.preview.uideck.com/index.html	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/)
03:11:16	2864/2864	---MCZ	-1	error ('Error%20when%20decompressing')	image/svg+xml	etag:W/%22464a9c8d2170b0fcd208b64d8c0bedd1%22	https://go-tailwind.preview.uideck.com/src/images/logo/logo-dark.svg	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/src/images/logo/logo-dark.svg	(from https://go-tailwind.preview.uideck.com/)
03:11:16	7133/7133	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227d11ee2959e7c7046f57d712ffe403cf%22	https://go-tailwind.preview.uideck.com/src/images/logo/logo-light.svg	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/src/images/logo/logo-light.svg	(from https://go-tailwind.preview.uideck.com/)
03:11:16	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2021%20Jul%202024%2001:11:24%20GMT	https://go-tailwind.preview.uideck.com/blog-grids.html	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/blog-grids.html	(from https://go-tailwind.preview.uideck.com/)
03:11:17	54001/54001	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202024%2001:11:25%20GMT	https://go-tailwind.preview.uideck.com/blog-grids	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/blog-grids.html	(from https://go-tailwind.preview.uideck.com/)
03:11:17	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2021%20Jul%202024%2001:11:25%20GMT	https://go-tailwind.preview.uideck.com/blog-details.html	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/blog-details.9.delayed	(from https://go-tailwind.preview.uideck.com/)
03:11:17	29156/29156	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202024%2001:11:25%20GMT	https://go-tailwind.preview.uideck.com/blog-details	C:/Users/Andrea/Desktop/Siti/Nuova%20attivit%c3%a0/go-tailwind.preview.uideck.com/blog-details.html	(from https://go-tailwind.preview.uideck.com/)
